mention_week,media_continent,media_country,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events
2015-02-23,Africa,Egypt,Libya,Africa,123,63
2015-02-23,Africa,Morocco,Israel,Asia,4,4
2015-02-23,Africa,Nigeria,Egypt,Africa,68,49
2015-02-23,Africa,Egypt,Egypt,Africa,10,6
2015-02-23,Africa,Mali,United States,North America,2,1
2015-02-23,Africa,Ghana,Nigeria,Africa,1,1
2015-02-23,Africa,Angola,Egypt,Africa,2,1
2015-02-23,Africa,Nigeria,Nigeria,Africa,25,19
2015-02-23,Africa,Ghana,Libya,Africa,7,5
2015-02-23,Africa,Nigeria,Nigeria,Africa,6,5
2015-02-23,Africa,Nigeria,Syria,Asia,3,3
2015-02-23,Africa,Egypt,Syria,Asia,0,0
2015-02-23,Africa,Egypt,United States,North America,7,1
2015-02-23,Africa,Ghana,Nigeria,Africa,26,19
2015-02-23,Africa,Nigeria,Syria,Asia,22,19
2015-02-23,Africa,Egypt,Syria,Asia,1,1
2015-02-23,Africa,South Africa,United States,North America,6,4
2015-02-23,Africa,Egypt,Nigeria,Africa,12,9
2015-02-23,Africa,Nigeria,Nigeria,Africa,1817,1179
2015-02-23,Africa,Algeria,Syria,Asia,25,21
2015-02-23,Africa,Ghana,Nigeria,Africa,65,48
2015-02-23,Africa,Kenya,South Africa,Africa,13,8
2015-02-23,Africa,Ghana,Nigeria,Africa,9,3
2015-02-23,Africa,South Africa,South Africa,Africa,0,0
2015-02-23,Africa,Ghana,Egypt,Africa,36,21
2015-02-23,Africa,Egypt,Syria,Asia,5,2
2015-02-23,Africa,Nigeria,Iraq,Asia,15,9
2015-02-23,Africa,South Africa,Syria,Asia,6,6
2015-02-23,Africa,Morocco,Morocco,Africa,5,5
2015-02-23,Africa,Egypt,Libya,Africa,6,3
2015-02-23,Africa,Morocco,Iraq,Asia,16,14
2015-02-23,Africa,Libya,Syria,Asia,16,14
2015-02-23,Africa,Egypt,Egypt,Africa,8,7
2015-02-23,Africa,Egypt,Iraq,Asia,33,18
2015-02-23,Africa,Nigeria,United States,North America,7,5
2015-02-23,Africa,Nigeria,Israel,Asia,5,3
2015-02-23,Africa,Nigeria,United States,North America,17,12
2015-02-23,Africa,Libya,Syria,Asia,9,6
2015-02-23,Africa,Mauritania,Libya,Africa,0,0
2015-02-23,Africa,Egypt,United States,North America,9,7
2015-02-23,Africa,Egypt,Egypt,Africa,2,1
2015-02-23,Africa,Egypt,Israel,Asia,13,9
2015-02-23,Africa,Egypt,Iraq,Asia,6,4
2015-02-23,Africa,South Africa,Nigeria,Africa,22,12
2015-02-23,Africa,South Africa,Libya,Africa,6,5
2015-02-23,Africa,Egypt,Libya,Africa,11,4
2015-02-23,Africa,Egypt,United States,North America,8,3
2015-02-23,Africa,Kenya,South Africa,Africa,6,5
2015-02-23,Africa,Egypt,Iraq,Asia,2,2
2015-02-23,Africa,Nigeria,Nigeria,Africa,1,1
2015-02-23,Africa,Egypt,Libya,Africa,0,0
2015-02-23,Africa,Mali,United States,North America,1,1
2015-02-23,Africa,Libya,Libya,Africa,18,12
2015-02-23,Africa,Mauritania,Libya,Africa,0,0
2015-02-23,Africa,Nigeria,Burkina Faso,Africa,4,4
2015-02-23,Africa,Egypt,Libya,Africa,6,4
2015-02-23,Africa,Kenya,Nigeria,Africa,9,6
2015-02-23,Africa,Kenya,Israel,Asia,6,4
2015-02-23,Africa,Sudan,Libya,Africa,1,1
2015-02-23,Africa,Libya,Iraq,Asia,5,4
2015-02-23,Africa,Libya,Israel,Asia,10,8
2015-02-23,Africa,South Africa,Libya,Africa,9,5
2015-02-23,Africa,Egypt,Iraq,Asia,0,0
2015-02-23,Africa,Kenya,Nigeria,Africa,6,4
2015-02-23,Africa,Nigeria,Nigeria,Africa,0,0
2015-02-23,Africa,Nigeria,Iraq,Asia,15,9
2015-02-23,Africa,South Africa,Nigeria,Africa,10,8
2015-02-23,Africa,Kenya,United States,North America,31,17
2015-02-23,Africa,Egypt,Iraq,Asia,14,8
2015-02-23,Africa,Egypt,Libya,Africa,3,1
2015-02-23,Africa,Ghana,Libya,Africa,0,0
2015-02-23,Africa,Ghana,South Africa,Africa,4,2
2015-02-23,Africa,South Africa,Syria,Asia,4,4
2015-02-23,Africa,Algeria,Iraq,Asia,6,5
2015-02-23,Africa,Nigeria,Israel,Asia,5,5
2015-02-23,Africa,Egypt,United States,North America,23,3
2015-02-23,Africa,South Africa,Nigeria,Africa,20,8
2015-02-23,Africa,South Africa,Israel,Asia,4,3
2015-02-23,Africa,Nigeria,United States,North America,4,2
2015-02-23,Africa,Egypt,Egypt,Africa,7,3
2015-02-23,Africa,Egypt,Israel,Asia,42,32
2015-02-23,Africa,Nigeria,Nigeria,Africa,12,9
2015-02-23,Africa,Morocco,Morocco,Africa,2,2
2015-02-23,Africa,Egypt,Egypt,Africa,0,0
2015-02-23,Africa,Morocco,United States,North America,36,2
2015-02-23,Africa,Mali,United States,North America,0,0
2015-02-23,Africa,South Africa,Syria,Asia,5,2
2015-02-23,Africa,South Africa,Egypt,Africa,18,11
2015-02-23,Africa,Nigeria,Nigeria,Africa,6,6
2015-02-23,Africa,Egypt,Israel,Asia,98,59
2015-02-23,Africa,Nigeria,Morocco,Africa,7,7
2015-02-23,Africa,Nigeria,United States,North America,1,1
2015-02-23,Africa,Egypt,Israel,Asia,16,13
2015-02-23,Africa,Nigeria,Nigeria,Africa,14,12
2015-02-23,Africa,Mauritania,Egypt,Africa,14,6
2015-02-23,Africa,South Africa,South Africa,Africa,2,1
2015-02-23,Africa,Zimbabwe,Syria,Asia,5,5
2015-02-23,Africa,Egypt,Libya,Africa,0,0
2015-02-23,Africa,Morocco,Israel,Asia,5,5
2015-02-23,Africa,South Africa,South Africa,Africa,10,3
2015-02-23,Africa,Nigeria,Nigeria,Africa,5,5
2015-02-23,Africa,Egypt,Iraq,Asia,6,4
2015-02-23,Africa,Egypt,Syria,Asia,8,6
2015-02-23,Africa,Egypt,Egypt,Africa,6,3
2015-02-23,Africa,Egypt,Israel,Asia,6,5
2015-02-23,Africa,Nigeria,United States,North America,17,13
2015-02-23,Africa,Libya,United States,North America,3,2
2015-02-23,Africa,Tunisia,Libya,Africa,2,2
2015-02-23,Africa,Egypt,Syria,Asia,25,8
2015-02-23,Africa,Egypt,Israel,Asia,16,4
2015-02-23,Africa,Egypt,Israel,Asia,1,1
2015-02-23,Africa,Somalia,South Africa,Africa,4,4
2015-02-23,Africa,Nigeria,United States,North America,1,1
2015-02-23,Africa,Kenya,Syria,Asia,19,13
2015-02-23,Africa,Guinea,Morocco,Africa,2,2
2015-02-23,Africa,Nigeria,Nigeria,Africa,22,17
2015-02-23,Africa,South Africa,South Africa,Africa,59,45
2015-02-23,Africa,Egypt,Iraq,Asia,326,181
2015-02-23,Africa,Morocco,Morocco,Africa,8,4
2015-02-23,Africa,Algeria,Egypt,Africa,28,24
2015-02-23,Africa,South Africa,South Africa,Africa,2,2
2015-02-23,Africa,Tanzania,Iraq,Asia,4,4
2015-02-23,Africa,South Africa,Syria,Asia,2,2
2015-02-23,Africa,Egypt,Syria,Asia,13,3
2015-02-23,Africa,South Africa,Iraq,Asia,0,0
2015-02-23,Africa,Egypt,Egypt,Africa,4,3
2015-02-23,Africa,Kenya,Nigeria,Africa,6,4
2015-02-23,Africa,Egypt,Syria,Asia,7,6
2015-02-23,Africa,Morocco,Burkina Faso,Africa,4,3
2015-02-23,Africa,Egypt,Egypt,Africa,11,3
2015-02-23,Africa,Uganda,United States,North America,9,5
2015-02-23,Africa,Egypt,Syria,Asia,738,341
2015-02-23,Africa,Algeria,United States,North America,1,1
2015-02-23,Africa,Ghana,Nigeria,Africa,9,3
2015-02-23,Africa,Ghana,United States,North America,17,14
2015-02-23,Africa,Egypt,Egypt,Africa,3,1
2015-02-23,Africa,Kenya,Israel,Asia,5,3
2015-02-23,Africa,Libya,Syria,Asia,8,7
2015-02-23,Africa,Kenya,United States,North America,0,0
2015-02-23,Africa,Egypt,Israel,Asia,1,1
2015-02-23,Africa,Nigeria,Syria,Asia,8,6
2015-02-23,Africa,Nigeria,Nigeria,Africa,9,6
2015-02-23,Africa,Morocco,Israel,Asia,13,8
2015-02-23,Africa,Kenya,Nigeria,Africa,19,8
2015-02-23,Africa,Egypt,Iraq,Asia,19,12
2015-02-23,Africa,Egypt,Egypt,Africa,3,1
2015-02-23,Africa,Nigeria,Nigeria,Africa,7,6
2015-02-23,Africa,South Africa,United States,North America,1,1
2015-02-23,Africa,Nigeria,Nigeria,Africa,6,6
2015-02-23,Africa,South Africa,Nigeria,Africa,2,2
2015-02-23,Africa,Mauritania,Egypt,Africa,14,7
2015-02-23,Africa,Nigeria,Israel,Asia,8,6
2015-02-23,Africa,South Africa,Nigeria,Africa,74,47
2015-02-23,Africa,South Africa,United States,North America,188,111
2015-02-23,Africa,South Africa,South Africa,Africa,5,4
2015-02-23,Africa,Angola,Nigeria,Africa,12,10
2015-02-23,Africa,Ghana,Nigeria,Africa,7,3
2015-02-23,Africa,Ghana,United States,North America,14,14
2015-02-23,Africa,Egypt,Egypt,Africa,3,3
2015-02-23,Africa,Nigeria,Nigeria,Africa,40,22
2015-02-23,Africa,South Africa,South Africa,Africa,49,27
2015-02-23,Africa,Algeria,Libya,Africa,12,10
2015-02-23,Africa,Mauritania,United States,North America,14,6
2015-02-23,Africa,Uganda,United States,North America,0,0
2015-02-23,Africa,Morocco,Morocco,Africa,89,48
2015-02-23,Africa,Libya,Egypt,Africa,8,7
2015-02-23,Africa,Uganda,Nigeria,Africa,6,3
2015-02-23,Africa,Egypt,Egypt,Africa,204,122
2015-02-23,Africa,Ghana,Egypt,Africa,10,8
2015-02-23,Africa,Egypt,Egypt,Africa,11,8
2015-02-23,Africa,Uganda,United States,North America,0,0
2015-02-23,Africa,South Africa,Israel,Asia,5,2
2015-02-23,Africa,Egypt,Nigeria,Africa,6,2
2015-02-23,Africa,Egypt,Libya,Africa,0,0
2015-02-23,Africa,South Africa,United States,North America,7,3
2015-02-23,Africa,Nigeria,Egypt,Africa,4,3
2015-02-23,Africa,South Africa,United States,North America,9,5
2015-02-23,Africa,Egypt,Egypt,Africa,11,9
2015-02-23,Africa,Zimbabwe,Nigeria,Africa,14,14
2015-02-23,Africa,Algeria,Israel,Asia,19,16
2015-02-23,Africa,Zimbabwe,United States,North America,5,5
2015-02-23,Africa,Egypt,United States,North America,5,4
2015-02-23,Africa,South Africa,South Africa,Africa,16,12
2015-02-23,Africa,Kenya,Iraq,Asia,5,5
2015-02-23,Africa,Morocco,Syria,Asia,15,13
2015-02-23,Africa,Nigeria,Syria,Asia,3,3
2015-02-23,Africa,Nigeria,Egypt,Africa,7,6
2015-02-23,Africa,Sudan,United States,North America,5,5
2015-02-23,Africa,Egypt,United States,North America,3,2
2015-02-23,Africa,Zimbabwe,United States,North America,9,9
2015-02-23,Africa,Morocco,United States,North America,22,17
2015-02-23,Africa,Tunisia,Syria,Asia,11,10
2015-02-23,Africa,Senegal,Israel,Asia,1,1
2015-02-23,Africa,South Africa,South Africa,Africa,277,168
2015-02-23,Africa,Nigeria,Nigeria,Africa,7,5
2015-02-23,Africa,Egypt,Syria,Asia,10,3
2015-02-23,Africa,South Africa,Nigeria,Africa,4,2
2015-02-23,Africa,Algeria,Israel,Asia,5,5
2015-02-23,Africa,Egypt,Egypt,Africa,2,2
2015-02-23,Africa,South Africa,United States,North America,7,5
2015-02-23,Africa,Egypt,Libya,Africa,0,0
2015-02-23,Africa,Egypt,Egypt,Africa,5,3
2015-02-23,Africa,South Africa,South Africa,Africa,2,1
2015-02-23,Africa,Cameroon,United States,North America,5,4
2015-02-23,Africa,Uganda,Syria,Asia,9,5
2015-02-23,Africa,Republic of Congo,Egypt,Africa,5,5
2015-02-23,Africa,Libya,Israel,Asia,2,2
2015-02-23,Africa,South Africa,South Africa,Africa,11,8
2015-02-23,Africa,Nigeria,Nigeria,Africa,8,8
2015-02-23,Africa,Mauritania,Libya,Africa,14,6
2015-02-23,Africa,Nigeria,Syria,Asia,12,6
2015-02-23,Africa,Egypt,Israel,Asia,101,60
2015-02-23,Africa,South Africa,Israel,Asia,8,6
2015-02-23,Africa,Tunisia,Libya,Africa,6,6
2015-02-23,Africa,Egypt,United States,North America,4,3
2015-02-23,Africa,Egypt,Iraq,Asia,12,2
2015-02-23,Africa,Uganda,Syria,Asia,6,3
2015-02-23,Africa,South Africa,South Africa,Africa,3,3
2015-02-23,Africa,Morocco,Egypt,Africa,82,28
2015-02-23,Africa,Egypt,Israel,Asia,0,0
2015-02-23,Africa,Somalia,United States,North America,4,2
2015-02-23,Africa,South Africa,South Africa,Africa,155,101
2015-02-23,Africa,Zimbabwe,Nigeria,Africa,5,5
2015-02-23,Africa,Morocco,Nigeria,Africa,5,5
2015-02-23,Africa,Nigeria,Nigeria,Africa,10,5
2015-02-23,Africa,Morocco,Burkina Faso,Africa,0,0
2015-02-23,Africa,Kenya,Nigeria,Africa,8,5
2015-02-23,Africa,Egypt,Israel,Asia,0,0
2015-02-23,Africa,Egypt,Libya,Africa,27,20
2015-02-23,Africa,Tanzania,Syria,Asia,7,7
2015-02-23,Africa,South Africa,South Africa,Africa,11,2
2015-02-23,Africa,Ghana,Israel,Asia,3,3
2015-02-23,Africa,Egypt,United States,North America,1,1
2015-02-23,Africa,South Africa,Israel,Asia,4,3
2015-02-23,Africa,Somalia,United States,North America,4,4
2015-02-23,Africa,Uganda,United States,North America,6,2
2015-02-23,Africa,South Africa,United States,North America,6,3
2015-02-23,Africa,South Africa,South Africa,Africa,0,0
2015-02-23,Africa,Kenya,Egypt,Africa,3,3
2015-02-23,Africa,South Africa,Syria,Asia,8,3
2015-02-23,Africa,Egypt,United States,North America,7,5
2015-02-23,Africa,Egypt,Israel,Asia,5,2
2015-02-23,Africa,Egypt,Egypt,Africa,0,0
2015-02-23,Africa,Nigeria,South Africa,Africa,12,12
2015-02-23,Africa,Egypt,Egypt,Africa,2,1
2015-02-23,Africa,Nigeria,Nigeria,Africa,20,15
2015-02-23,Africa,South Africa,South Africa,Africa,406,234
2015-02-23,Africa,Morocco,Syria,Asia,47,40
2015-02-23,Africa,South Africa,Nigeria,Africa,20,8
2015-02-23,Africa,Ghana,Syria,Asia,3,3
2015-02-23,Africa,Namibia,South Africa,Africa,8,6
2015-02-23,Africa,Mali,Israel,Asia,5,2
2015-02-23,Africa,Egypt,Libya,Africa,16,6
2015-02-23,Africa,Ghana,Israel,Asia,3,3
2015-02-23,Africa,Morocco,Syria,Asia,160,3
2015-02-23,Africa,Zimbabwe,South Africa,Africa,5,5
2015-02-23,Africa,Burkina Faso,Burkina Faso,Africa,441,33
2015-02-23,Africa,Uganda,Iraq,Asia,6,3
2015-02-23,Africa,South Africa,South Africa,Africa,1,1
2015-02-23,Africa,Kenya,Nigeria,Africa,12,4
2015-02-23,Africa,Nigeria,Egypt,Africa,15,9
2015-02-23,Africa,South Africa,Syria,Asia,5,4
2015-02-23,Africa,Morocco,United States,North America,5,5
2015-02-23,Africa,Egypt,Burkina Faso,Africa,0,0
2015-02-23,Africa,South Africa,Nigeria,Africa,14,6
2015-02-23,Africa,Ivory Coast,Egypt,Africa,12,8
2015-02-23,Africa,Egypt,Israel,Asia,7,4
2015-02-23,Africa,Nigeria,Libya,Africa,14,14
2015-02-23,Africa,South Africa,South Africa,Africa,54,32
2015-02-23,Africa,Libya,Libya,Africa,45,33
2015-02-23,Africa,Egypt,United States,North America,0,0
2015-02-23,Africa,Nigeria,Nigeria,Africa,9,8
2015-02-23,Africa,Ghana,South Africa,Africa,18,13
2015-02-23,Africa,Niger,Nigeria,Africa,6,6
2015-02-23,Africa,Mauritania,Libya,Africa,14,6
2015-02-23,Africa,Tanzania,United States,North America,2,2
2015-02-23,Africa,Egypt,United States,North America,1,1
2015-02-23,Africa,Nigeria,Morocco,Africa,3,3
2015-02-23,Africa,Egypt,United States,North America,2,2
2015-02-23,Africa,Egypt,Libya,Africa,178,80
2015-02-23,Africa,Sudan,Egypt,Africa,4,4
2015-02-23,Africa,Morocco,Morocco,Africa,25,23
2015-02-23,Africa,Nigeria,Nigeria,Africa,6,4
2015-02-23,Africa,Morocco,Israel,Asia,2,2
2015-02-23,Africa,South Africa,South Africa,Africa,2,2
2015-02-23,Africa,Senegal,United States,North America,2,2
2015-02-23,Africa,Egypt,United States,North America,10,8
2015-02-23,Africa,Egypt,Israel,Asia,1,1
2015-02-23,Africa,Zimbabwe,South Africa,Africa,6,3
2015-02-23,Africa,Mali,United States,North America,7,3
2015-02-23,Africa,Egypt,Libya,Africa,71,50
2015-02-23,Africa,Algeria,Iraq,Asia,4,3
2015-02-23,Africa,Nigeria,Iraq,Asia,46,31
2015-02-23,Africa,Nigeria,Libya,Africa,32,25
2015-02-23,Africa,Nigeria,Nigeria,Africa,2,2
2015-02-23,Africa,Egypt,Iraq,Asia,7,3
2015-02-23,Africa,Egypt,Egypt,Africa,7,7
2015-02-23,Africa,Egypt,United States,North America,6,1
2015-02-23,Africa,Morocco,United States,North America,74,5
2015-02-23,Africa,Egypt,United States,North America,0,0
2015-02-23,Africa,Nigeria,United States,North America,110,74
2015-02-23,Africa,Egypt,United States,North America,0,0
2015-02-23,Africa,South Africa,Libya,Africa,20,13
2015-02-23,Africa,Egypt,Egypt,Africa,6,3
2015-02-23,Africa,Kenya,Syria,Asia,6,3
2015-02-23,Africa,Nigeria,Nigeria,Africa,6,6
2015-02-23,Africa,Tunisia,Libya,Africa,1,1
2015-02-23,Africa,Mauritania,Egypt,Africa,0,0
2015-02-23,Africa,Egypt,Egypt,Africa,13,12
2015-02-23,Africa,Egypt,Egypt,Africa,4,4
2015-02-23,Africa,Nigeria,Nigeria,Africa,16,14
2015-02-23,Africa,South Africa,Egypt,Africa,4,4
2015-02-23,Africa,Egypt,Libya,Africa,17,14
2015-02-23,Africa,Morocco,United States,North America,159,6
2015-02-23,Africa,South Africa,South Africa,Africa,106,79
2015-02-23,Africa,Uganda,Nigeria,Africa,6,3
2015-02-23,Africa,Egypt,Nigeria,Africa,5,3
2015-02-23,Africa,Egypt,Syria,Asia,20,8
2015-02-23,Africa,Egypt,United States,North America,4,2
2015-02-23,Africa,Egypt,Egypt,Africa,30,20
2015-02-23,Africa,Egypt,Israel,Asia,0,0
2015-02-23,Africa,Somalia,Iraq,Asia,15,13
2015-02-23,Africa,Egypt,United States,North America,0,0
2015-02-23,Africa,Nigeria,South Africa,Africa,4,1
2015-02-23,Africa,Zimbabwe,Iraq,Asia,7,7
2015-02-23,Africa,South Africa,Israel,Asia,3,3
2015-02-23,Africa,South Africa,South Africa,Africa,2,1
2015-02-23,Africa,Nigeria,Nigeria,Africa,1,1
2015-02-23,Africa,Zimbabwe,South Africa,Africa,1,1
2015-02-23,Africa,Algeria,Egypt,Africa,7,7
2015-02-23,Africa,Burkina Faso,Nigeria,Africa,55,7
2015-02-23,Africa,South Africa,South Africa,Africa,6,3
2015-02-23,Africa,Egypt,Syria,Asia,12,2
2015-02-23,Africa,Zimbabwe,South Africa,Africa,8,8
2015-02-23,Africa,Egypt,Iraq,Asia,113,72
2015-02-23,Africa,Uganda,Nigeria,Africa,6,3
2015-02-23,Africa,Nigeria,Nigeria,Africa,6,4
2015-02-23,Africa,Nigeria,South Africa,Africa,7,7
2015-02-23,Africa,South Africa,Libya,Africa,22,14
2015-02-23,Africa,Libya,Libya,Africa,25,22
2015-02-23,Africa,Nigeria,South Africa,Africa,9,7
2015-02-23,Africa,Egypt,Syria,Asia,39,27
2015-02-23,Africa,Nigeria,Nigeria,Africa,302,220
2015-02-23,Africa,Algeria,Egypt,Africa,28,27
2015-02-23,Africa,Kenya,Nigeria,Africa,8,2
2015-02-23,Africa,Egypt,Egypt,Africa,7,5
2015-02-23,Africa,Nigeria,Israel,Asia,7,5
2015-02-23,Africa,Mauritania,Libya,Africa,0,0
2015-02-23,Africa,Ghana,South Africa,Africa,23,12
2015-02-23,Africa,Morocco,Israel,Asia,10,9
2015-02-23,Africa,Egypt,United States,North America,1,1
2015-02-23,Africa,Zimbabwe,Israel,Asia,6,6
2015-02-23,Africa,South Africa,Iraq,Asia,16,10
2015-02-23,Africa,South Africa,United States,North America,7,3
2015-02-23,Africa,Angola,Nigeria,Africa,7,6
2015-02-23,Africa,Egypt,Egypt,Africa,6,4
2015-02-23,Africa,Ivory Coast,Nigeria,Africa,9,9
2015-02-23,Africa,Uganda,Nigeria,Africa,6,3
2015-02-23,Africa,Nigeria,Nigeria,Africa,1217,848
2015-02-23,Africa,Ivory Coast,Nigeria,Africa,5,4
2015-02-23,Africa,Algeria,Syria,Asia,8,3
2015-02-23,Africa,Morocco,Iraq,Asia,121,6
2015-02-23,Africa,Algeria,Morocco,Africa,3,2
2015-02-23,Africa,Kenya,United States,North America,2,2
2015-02-23,Africa,Nigeria,Nigeria,Africa,5,5
2015-02-23,Africa,South Africa,Israel,Asia,9,7
2015-02-23,Africa,South Africa,Israel,Asia,7,5
2015-02-23,Africa,Kenya,Libya,Africa,1,1
2015-02-23,Africa,Morocco,Iraq,Asia,54,11
2015-02-23,Africa,Libya,Egypt,Africa,13,11
2015-02-23,Africa,South Africa,United States,North America,39,21
2015-02-23,Africa,Namibia,South Africa,Africa,5,4
2015-02-23,Africa,South Africa,Israel,Asia,4,4
2015-02-23,Africa,Nigeria,Iraq,Asia,6,4
